"tool","label","tp_alignment","fp_alignment","fn_alignment","accuracy","avg_f1_all","avg_precision_alignment","avg_recall_alignment","avg_rouge1_recall_alignment","avg_rouge2_recall_alignment","avg_rouge3_recall_alignment","avg_bleu_score_alignment","avg_lev_ratio_non_zero","avg_lev_ratio_alignment","false_discovery_rate","miss_rate","alignment_error_rate"
"sciencebeam","abstract","84","3","17","0.8076923076923077","0.8936170212765957","0.9655172413793104","0.8316831683168316","0.7546279086890186","0.7353943813825088","0.7182530408861839","0.7189374001187431","0.9759276960556245","0.7882492929680043","0.034482758620689655","0.16831683168316833","0.19230769230769232"
"sciencebeam","affiliation","183","17","220","0.4357142857142857","0.6069651741293532","0.915","0.45409429280397023","0.38375086445243456","0.3731889576077435","0.3638025423893667","0.360964434441067","0.9712298245541837","0.4231787092700372","0.085","0.5459057071960298","0.5642857142857143"
"sciencebeam","author","272","41","61","0.7272727272727273","0.8421052631578947","0.8690095846645366","0.8168168168168167","0.6755793226381461","0.6082887700534759","0.6042780748663101","0.6203592773220388","0.9899088982707324","0.7199337441968963","0.13099041533546327","0.1831831831831832","0.2727272727272727"
"sciencebeam","caption","0","0","877","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"sciencebeam","email","0","0","192","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"sciencebeam","equation","852","890","2084","0.2226868792472556","0.364258230012826","0.4890929965556831","0.2901907356948229","0.06403238046815783","0.026319290338812144","0.013708734113366157","0.019486885773959597","0.7837438264227438","0.17444191448156998","0.5109070034443168","0.7098092643051771","0.7773131207527444"
"sciencebeam","footer","0","0","337","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"sciencebeam","header","0","0","159","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"sciencebeam","keyword","152","19","95","0.5714285714285714","0.7272727272727274","0.8888888888888888","0.6153846153846154","0.5256892230576441","0.49774436090225566","0.49718045112781956","0.5067668241049814","0.9949468342056554","0.5685410481175174","0.1111111111111111","0.38461538461538464","0.42857142857142855"
"sciencebeam","list","0","0","244","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"sciencebeam","pub_date","17","1","10","0.6071428571428572","0.7555555555555556","0.9444444444444444","0.6296296296296297","0.5952380952380952","0.5892857142857143","0.5892857142857143","0.5832885262486461","0.9843137254901961","0.5976190476190476","0.05555555555555555","0.37037037037037035","0.39285714285714285"
"sciencebeam","reference","3359","68","459","0.8643849716932579","0.9272601794340923","0.9801575722206011","0.8797799895233106","0.7991869965156144","0.7567565572532795","0.7216724189094047","0.733960394265412","0.9862477880555763","0.8524977663609575","0.019842427779398892","0.12022001047668937","0.13561502830674216"
"sciencebeam","section","981","916","542","0.4022140221402214","0.5736842105263158","0.5171323141802847","0.6441234405778069","0.38024008586739216","0.37423342681645266","0.3693533028403877","0.36292475287991327","0.9862990757335413","0.3967033182839705","0.48286768581971534","0.35587655942219304","0.5977859778597786"
"sciencebeam","table","0","0","253","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"sciencebeam","title","83","5","17","0.7904761904761904","0.8829787234042553","0.9431818181818183","0.83","0.7802672382084147","0.7755571016285302","0.7705639862782719","0.7669229084269169","0.99267134828616","0.7846830657881074","0.056818181818181816","0.17","0.20952380952380953"
