"tool","label","tp_alignment","fp_alignment","fn_alignment","accuracy","avg_f1_all","avg_precision_alignment","avg_recall_alignment","avg_rouge1_recall_alignment","avg_rouge2_recall_alignment","avg_rouge3_recall_alignment","avg_bleu_score_alignment","avg_lev_ratio_non_zero","avg_lev_ratio_alignment","false_discovery_rate","miss_rate","alignment_error_rate"
"scienceparse","abstract","94","7","7","0.8703703703703703","0.9306930693069307","0.9306930693069307","0.9306930693069307","0.845195642749833","0.8354161292486812","0.8269893889318602","0.8280808483377023","0.9881900712498739","0.8600913583100754","0.06930693069306931","0.06930693069306931","0.12962962962962962"
"scienceparse","affiliation","0","0","403","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"scienceparse","author","319","7","14","0.9382352941176471","0.9681335356600911","0.9785276073619632","0.9579579579579578","0.9075980392156863","0.8784313725490197","0.875","0.8833049991024327","0.9951015145393212","0.9336393621707161","0.02147239263803681","0.042042042042042045","0.061764705882352944"
"scienceparse","caption","0","0","877","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"scienceparse","email","0","0","192","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"scienceparse","equation","0","0","2936","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"scienceparse","footer","0","0","337","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"scienceparse","header","0","0","159","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"scienceparse","keyword","0","0","247","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"scienceparse","list","0","0","244","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"scienceparse","pub_date","0","101","27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"scienceparse","reference","2987","257","831","0.7330061349693251","0.8459359954687058","0.9207768187422934","0.7823467784180199","0.5857235176251843","0.49221973325871704","0.43993378712205317","0.3972146731173668","0.8958773090949832","0.6566354956951215","0.07922318125770654","0.21765322158198008","0.26699386503067485"
"scienceparse","section","1153","144","370","0.6916616676664666","0.8177304964539007","0.8889745566692367","0.7570584372948129","0.6823276992169685","0.6776443629023113","0.6745453290294322","0.6739164505653187","0.9963711068115938","0.6891517013519902","0.1110254433307633","0.24294156270518713","0.3083383323335333"
"scienceparse","table","0","0","253","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"scienceparse","title","97","1","3","0.9603960396039604","0.9797979797979798","0.9897959183673468","0.97","0.9225179870928268","0.9037748967204413","0.883026874115983","0.8890916673672218","0.9939711371439853","0.9546059435937285","0.01020408163265306","0.03","0.039603960396039604"
