"tool","label","tp_alignment","fp_alignment","fn_alignment","accuracy","avg_f1_all","avg_precision_alignment","avg_recall_alignment","avg_rouge1_recall_alignment","avg_rouge2_recall_alignment","avg_rouge3_recall_alignment","avg_bleu_score_alignment","avg_lev_ratio_non_zero","avg_lev_ratio_alignment","false_discovery_rate","miss_rate","alignment_error_rate"
"unstructured","abstract","0","0","101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"unstructured","affiliation","0","0","403","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"unstructured","author","0","0","333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"unstructured","caption","647","122","230","0.6476476476476476","0.7861482381530984","0.8413524057217165","0.7377423033067275","0.523113076144804","0.48938967037393066","0.45732837987638825","0.4619650085052569","0.9360797584560586","0.6062498535746446","0.15864759427828348","0.26225769669327254","0.35235235235235235"
"unstructured","email","0","0","192","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"unstructured","equation","943","2321","1993","0.1793798744531101","0.3041935483870968","0.28890931372549017","0.32118528610354224","0.048123099184512075","0.018438957451798476","0.008056743045948916","0.01189888858451464","0.7937007338568143","0.14224917003804036","0.7110906862745098","0.6788147138964578","0.8206201255468899"
"unstructured","footer","54","1133","283","0.03673469387755102","0.07086614173228348","0.04549283909014322","0.16023738872403562","0.030587999908369214","0.029451709137518402","0.028307185343702072","0.027570184720314153","0.9641224241640018","0.03541674211214701","0.9545071609098568","0.8397626112759644","0.963265306122449"
"unstructured","header","93","423","66","0.15979381443298968","0.27555555555555555","0.18023255813953487","0.5849056603773585","0.15764604810996563","0.1556210112911144","0.1552119129438717","0.1517543167169059","0.9885811970092448","0.1579691603468381","0.8197674418604651","0.41509433962264153","0.8402061855670103"
"unstructured","keyword","0","0","247","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"unstructured","list","34","4644","210","0.006955810147299513","0.01381552214546932","0.007268063274903805","0.13934426229508196","0.005558461788051111","0.004963097503521292","0.004591756247508863","0.0029273977411239825","0.7788344424219978","0.005417424517665288","0.9927319367250962","0.860655737704918","0.9930441898527005"
"unstructured","pub_date","0","0","27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"unstructured","reference","0","0","3818","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"unstructured","section","1337","212","186","0.7706051873198847","0.8704427083333334","0.8631375080697224","0.8778726198292844","0.5982737003630375","0.5614504179777955","0.535123278898495","0.4677604060084097","0.9383185718649594","0.7227984400228937","0.1368624919302776","0.1221273801707157","0.22939481268011527"
"unstructured","table","199","55","54","0.6461038961038961","0.7850098619329389","0.7834645669291339","0.7865612648221344","0.5419699923119429","0.47462464082579253","0.4391540239551115","0.43328642744421875","0.9305517707190109","0.6012331245879323","0.21653543307086615","0.2134387351778656","0.3538961038961039"
"unstructured","title","90","11","10","0.8108108108108107","0.8955223880597015","0.8910891089108911","0.9","0.7789155465626053","0.7726760851760852","0.7626626626626626","0.7532812656223251","0.9891842982841432","0.8020413229330892","0.10891089108910891","0.1","0.1891891891891892"
