"tool","label","tp_alignment","fp_alignment","fn_alignment","accuracy","avg_f1_all","avg_precision_alignment","avg_recall_alignment","avg_rouge1_recall_alignment","avg_rouge2_recall_alignment","avg_rouge3_recall_alignment","avg_bleu_score_alignment","avg_lev_ratio_non_zero","avg_lev_ratio_alignment","false_discovery_rate","miss_rate","alignment_error_rate"
"tabula","abstract","0","0","101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"tabula","affiliation","0","0","403","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"tabula","author","0","0","333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"tabula","caption","0","0","877","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"tabula","email","0","0","192","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"tabula","equation","0","0","2936","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"tabula","footer","0","0","337","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"tabula","header","0","0","159","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"tabula","keyword","0","0","247","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"tabula","list","0","0","244","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"tabula","pub_date","0","0","27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"tabula","reference","0","0","3818","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"tabula","section","0","0","1523","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"tabula","table","101","290","152","0.18600368324125227","0.3136645962732919","0.25831202046035806","0.39920948616600793","0.13974859959865057","0.11928981975873924","0.10654298337762019","0.09499543178462196","0.8759344825423443","0.19035040320441368","0.7416879795396419","0.6007905138339921","0.8139963167587477"
"tabula","title","0","0","100","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
